ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260316@100000@20240105@20260401@14,757@14,7416@14,747@993,470954@0@14,616@15,0475@14,6397@15,046@Calculado
LTN@20260316@100000@20230106@20260701@14,2406@14,228@14,2337@962,183747@0,00396135174909@14,0944@14,6554@14,1015@14,4798@Calculado
LTN@20260316@100000@20240705@20261001@14,0767@14,0596@14,068@930,45634@0,0022756474727@13,8735@14,5362@13,8782@14,3596@Calculado
LTN@20260316@100000@20250110@20270401@13,8772@13,8647@13,8704@874,577566@0,00198288510257@13,4926@14,5338@13,495@14,2804@Calculado
LTN@20260316@100000@20230707@20270701@13,7161@13,7038@13,7103@848,162019@0,00030883455118@13,286@14,4204@13,2873@14,1489@Calculado
LTN@20260316@100000@20250704@20271001@13,6804@13,6623@13,672@820,939733@0,00282423293303@13,2195@14,4083@13,2202@14,1258@Calculado
LTN@20260316@100000@20240105@20280101@13,5806@13,566@13,574@796,284531@0,00158490475108@13,1071@14,3269@13,1074@14,0465@Calculado
LTN@20260316@100000@20260109@20280401@13,5721@13,5598@13,5679@771,429294@0,00006666655833@13,0953@14,3666@13,0953@14,0752@Calculado
LTN@20260316@100000@20240705@20280701@13,5695@13,5555@13,5593@748,162278@0,00342089169516@13,0759@14,3992@13,076@14,0932@Calculado
LTN@20260316@100000@20220211@20290101@13,6335@13,6216@13,6273@701,619408@0,00092511260396@13,1365@14,4964@13,1362@14,1764@Calculado
LTN@20260316@100000@20250704@20290701@13,7293@13,7176@13,7237@657,049044@0,00048438103803@13,2399@14,6059@13,2395@14,2761@Calculado
LTN@20260316@100000@20240105@20300101@13,766@13,7569@13,7611@615,682375@0,00145602197786@13,2932@14,6645@13,2928@14,3132@Calculado
LTN@20260316@100000@20250110@20320101@13,9305@13,9205@13,925@471,809302@0,0008904820773@13,464@14,8464@13,4638@14,4691@Calculado
NTN-C@20260316@770100@20000701@20310101@7,9361@7,7829@7,8432@7604,940222@0,14319034666757@7,0957@8,4274@7,3198@8,6342@Calculado
LFT@20260316@210100@20000701@20260901@-0,0097@-0,0448@-0,0239@18593,133781@0,00540456642294@-0,0674@0,0295@-0,0726@0,0279@Calculado
LFT@20260316@210100@20000701@20270301@0,0019@-0,0007@0,0009@18590,921442@0,00021995667755@-0,047@0,0343@-0,0505@0,0352@Calculado
LFT@20260316@210100@20000701@20270901@0,0124@0,0088@0,0109@18588,132778@0,00013867497972@-0,0273@0,0491@-0,0288@0,05@Calculado
LFT@20260316@210100@20000701@20280301@0,0226@0,0201@0,0219@18583,150367@0,00056582982424@-0,01@0,0649@-0,0116@0,0666@Calculado
LFT@20260316@210100@20000701@20280901@0,0355@0,0327@0,0344@18575,379291@0,00064920765553@0,0264@0,0582@0,0258@0,0589@Calculado
