ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20260416@100000@20230106@20260701@14,2623@14,1299@14,2005@973,484619@0,02803047128127@14,0011@14,3338@14,0655@14,3949@Calculado
LTN@20260416@100000@20240705@20261001@14,1083@14,0918@14,0999@941,088773@0,00002773481567@13,7882@14,2247@13,9199@14,3538@Calculado
LTN@20260416@100000@20250110@20270401@13,848@13,8098@13,8228@884,90079@0,00921847569341@13,3386@14,1131@13,4669@14,2394@Calculado
LTN@20260416@100000@20230707@20270701@13,6531@13,6399@13,647@858,299944@0@13,0872@13,9753@13,225@14,1119@Calculado
LTN@20260416@100000@20250704@20271001@13,5981@13,5866@13,5918@831,026931@0,00047207746186@13,0008@13,9539@13,1364@14,0886@Calculado
LTN@20260416@100000@20240105@20280101@13,468@13,4557@13,4608@806,55035@0,0017077677184@12,8408@13,8281@12,9858@13,9728@Calculado
LTN@20260416@100000@20260109@20280401@13,4208@13,408@13,4145@782,10687@0,0011423659615@12,7815@13,7826@12,9288@13,9298@Calculado
LTN@20260416@100000@20240705@20280701@13,3849@13,3723@13,379@759,156282@0@12,7491@13,7648@12,8891@13,9044@Calculado
LTN@20260416@100000@20220211@20290101@13,4061@13,394@13,3994@713,325531@0,00093028951945@12,7846@13,8237@12,9086@13,9476@Calculado
LTN@20260416@100000@20250704@20290701@13,4502@13,4391@13,4453@669,664337@0,00027493313733@12,8485@13,8867@12,9593@13,9976@Calculado
LTN@20260416@100000@20240105@20300101@13,4658@13,454@13,4605@628,734825@0,00013867497972@12,8795@13,9033@12,989@14,0129@Calculado
LTN@20260416@100000@20250110@20320101@13,6148@13,6029@13,6092@484,786332@0,000483857045@13,0829@14,0876@13,1481@14,1527@Calculado
NTN-C@20260416@770100@20000701@20310101@8,1855@7,9486@8,0641@7695,248073@0,09869637459887@7,573@8,5765@7,503@8,5067@Calculado
LFT@20260416@210100@20000701@20260901@0,0017@-0,0031@-0,0008@18814,852505@0,00091932946216@-0,0324@0,0261@-0,032@0,0269@Calculado
LFT@20260416@210100@20000701@20270301@0,0118@0,0091@0,0108@18813,046284@0@-0,0158@0,0245@-0,0155@0,0247@Calculado
LFT@20260416@210100@20000701@20270901@0,0135@0,012@0,0128@18811,484656@0,00033310039027@-0,0013@0,0275@-0,0012@0,0282@Calculado
LFT@20260416@210100@20000701@20280301@0,0174@0,016@0,0166@18808,982289@0,00017337378695@0,0043@0,043@0,005@0,0439@Calculado
LFT@20260416@210100@20000701@20280901@0,0285@0,0262@0,0269@18802,811035@0,00087053790842@0,0159@0,0513@0,0166@0,0529@Calculado
LFT@20260416@210100@20000701@20290301@0,0445@0,0427@0,044@18791,258751@0,00046773060623@0,0273@0,0549@0,0285@0,0565@Calculado
LFT@20260416@210100@20000701@20290901@0,0571@0,0539@0,0554@18779,838169@0,00053455740571@0,0368@0,0659@0,0383@0,0674@Calculado
LFT@20260416@210100@20000701@20300301@0,0692@0,0666@0,0677@18765,934035@0,00063660146874@0,0449@0,079@0,0465@0,0804@Calculado
LFT@20260416@210100@20000701@20300601@0,0732@0,0699@0,0715@18759,894486@0,00034737106961@0,0552@0,0784@0,0549@0,0816@Calculado
LFT@20260416@210100@20000701@20300901@0,0785@0,0745@0,0755@18753,234048@0,00041226002717@0,0606@0,0832@0,0615@0,0849@Calculado
LFT@20260416@210100@20000701@20301201@0,0768@0,0729@0,0751@18750,054347@0,00036813557285@0,0613@0,0937@0,0622@0,0951@Calculado
LFT@20260416@210100@20000701@20310301@0,086@0,0842@0,0855@18737,222656@0,00044505074992@0,0712@0,0948@0,0729@0,0949@Calculado
LFT@20260416@210100@20000701@20310601@0,0911@0,0894@0,0906@18728,436147@0,00059662794102@0,077@0,0998@0,0781@0,1@Calculado
LFT@20260416@210100@20000701@20310901@0,0969@0,0934@0,0954@18719,3486@0,00041191405657@0,0834@0,1047@0,0838@0,105@Calculado
LFT@20260416@210100@20000701@20311201@0,101@0,0977@0,0992@18710,844312@0,00026912164536@0,0876@0,1107@0,0875@0,1108@Calculado
LFT@20260416@210100@20000701@20320301@0,106@0,1046@0,1055@18699,49899@0,00033924579585@0,0918@0,1157@0,0913@0,1155@Calculado
LFT@20260416@210100@20000701@20320601@0,1103@0,1082@0,1092@18690,354999@0,00032938840295@0,0954@0,1215@0,0951@0,1203@Calculado
NTN-B@20260416@760199@20000715@20260815@8,7225@8,687@8,7057@4680,962222@0,00694173026269@8,0903@9,411@8,1626@9,4941@Calculado
NTN-B@20260416@760199@20000715@20270515@7,8626@7,8382@7,85@4709,721826@0@7,5201@8,1135@7,5675@8,1598@Calculado
NTN-B@20260416@760199@20000715@20280815@7,7566@7,7277@7,7462@4559,491226@0,00409843175495@7,3352@8,0279@7,4014@8,0943@Calculado
NTN-B@20260416@760199@20000715@20290515@7,6542@7,6262@7,6375@4599,919227@0,00736404774088@7,2335@7,9029@7,2909@7,9608@Calculado
NTN-B@20260416@760199@20000715@20300815@7,673@7,6473@7,66@4458,411875@0,00026726123924@7,3026@7,899@7,3425@7,9391@Calculado
NTN-B@20260416@760199@20000715@20310515@7,6046@7,576@7,5876@4504,650699@0,0046741436681@7,2566@7,8188@7,2889@7,8512@Calculado
NTN-B@20260416@760199@20000715@20320815@7,5694@7,538@7,5485@4382,310184@0,00587433982844@7,2452@7,7752@7,2634@7,7935@Calculado
NTN-B@20260416@760199@20000715@20330515@7,5335@7,5032@7,5155@4429,483976@0,00799566440892@7,2248@7,7323@7,2451@7,7528@Calculado
NTN-B@20260416@760199@20000715@20350515@7,4054@7,3691@7,385@4394,015979@0,00993746681705@7,1332@7,5931@7,1483@7,6082@Calculado
NTN-B@20260416@760199@20000715@20370515@7,3378@7,3039@7,319@4356,448979@0,00807982362246@7,0967@7,5227@7,1075@7,5336@Calculado
NTN-B@20260416@760199@20000715@20400815@7,186@7,1498@7,1659@4265,84594@0,00849598835745@6,9864@7,375@6,9822@7,371@Calculado
NTN-B@20260416@760199@20000715@20450515@7,1046@7,0765@7,0885@4294,932784@0,00235807124574@6,9308@7,297@6,9278@7,2942@Calculado
NTN-B@20260416@760199@20000715@20500815@7,0363@7,004@7,02@4201,749234@0@6,8646@7,2256@6,8643@7,2257@Calculado
NTN-B@20260416@760199@20000715@20550515@7,0237@6,9943@7,0078@4243,9116@0,00244374809463@6,8526@7,2122@6,8532@7,2132@Calculado
NTN-B@20260416@760199@20000715@20600815@7,014@6,9821@6,9973@4152,252047@0,00578938308544@6,8416@7,2006@6,8433@7,2028@Calculado
NTN-F@20260416@950199@20160115@20270101@13,9249@13,8618@13,8968@1004,248429@0,0134865810497@13,5351@14,1637@13,6254@14,251@Calculado
NTN-F@20260416@950199@20180105@20290101@13,4097@13,3928@13,4017@958,783405@0,001632276778@12,7979@13,8177@12,9213@13,941@Calculado
NTN-F@20260416@950199@20200110@20310101@13,6104@13,5978@13,6047@914,438821@0,00118303801291@13,0835@14,063@13,1668@14,1463@Calculado
NTN-F@20260416@950199@20220107@20330101@13,6871@13,6752@13,6818@879,574146@0,00051053233982@13,1771@14,1533@13,2363@14,2127@Calculado
NTN-F@20260416@950199@20240105@20350101@13,7084@13,6928@13,7019@854,400964@0,00006399398409@13,2116@14,1791@13,2578@14,226@Calculado
NTN-F@20260416@950199@20260109@20370101@13,7328@13,7214@13,7278@833,906464@0,00050823286985@13,2501@14,2135@13,2862@14,2505@Calculado
