codigo,cnpj,fundo,tipo,vl_pos,vl_compra,vl_venda
CSAN33,00.346.750/0001-10,NECTON FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Debênture simples,113420.36,0.0,0.0
TFLE19,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,657266.58,0.0,0.0
AURE13,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,827780.95,0.0,0.0
VIXL18,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,295684.79,0.0,0.0
ENEV38,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,603930.47,0.0,0.0
CEAB13,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,277198.09,0.0,0.0
ELET24,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,2634815.69,0.0,0.0
ENGIC4,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,432812.75,0.0,0.0
AMBP16,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,983197.63,0.0,0.0
VIXL15,00.807.777/0001-62,DAYCOVAL CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Debênture simples,141807.29,0.0,0.0
AESLA8,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,136048.21,0.0,0.0
ANHBA5,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,7776106.75,0.0,0.0
ASAIA2,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,4261170.87,0.0,0.0
BRMLA1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,7639241.22,0.0,0.0
BRMLB1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,18903956.08,0.0,0.0
BSA318,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,41848570.59,0.0,0.0
BSA319,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,31222929.93,0.0,0.0
CCROA7,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,40657568.66,0.0,0.0
CEBD25,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,10546288.57,0.0,0.0
CEEBA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,178490.05,0.0,0.0
CEEBA6,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,130053.93,0.0,0.0
CEEBA7,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1278965.81,0.0,0.0
CEEBB3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1162176.58,0.0,0.0
CEEBB8,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,2457666.76,0.0,0.0
CEPEA1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,60885.19,0.0,0.0
CEPEA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,415072.91,0.0,0.0
CEPEB1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,390197.3,0.0,0.0
CEPEB2,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1616446.99,0.0,0.0
CGASA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,28796679.38,0.0,0.0
CGOS15,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,42102033.66,0.0,0.0
CGOS18,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,7946390.19,0.0,0.0
CHSF12,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,4816765.81,0.0,0.0
CHSF14,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,217973.08,0.0,0.0
CHSF24,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,39427919.5,0.0,0.0
CHTH11,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,20767239.35,0.0,0.0
CMGDA0,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1786972.83,0.0,0.0
CMGDA1,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,3133232.84,0.0,0.0
CMGDA2,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,376675.39,0.0,0.0
CMGDA3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1130414.32,0.0,0.0
CMGDB3,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,2047057.25,0.0,0.0
CMGTA0,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,1354991.26,0.0,0.0
CPFPA8,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,3451817.06,0.0,0.0
CPGT17,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,299353.54,0.0,0.0
CPGT18,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,10970127.47,0.0,0.0
CPGTA0,00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI FIF RESP LIMITADA,Debênture simples,598525.56,0.0,0.0
