codigo,spread_bps,spread_bruto_bps,pu,taxa
AALM12,71.1,71.1,1083.418566,0.7111
ABSP12,147.5,147.5,1060.995316,1.475
ACOV15,152.4,152.4,1023.859325,1.5243
ADPA21,243.4,243.4,1038.360477,2.4338
AEGE16,491.6,491.6,1052.723797,4.9162
AEGE17,520.6,520.6,969.101317,5.2061
AEGP17,148.1,148.1,355.499301,1.4807
AEGP19,264.2,264.2,1057.63844,2.6418
AEGPA4,277.9,277.9,1064.982089,2.7785
AEGPA9,286.6,286.6,1029.081504,2.866
AEGPB3,316.8,316.8,957.473929,3.1679
AEGPB5,319.9,319.9,990.854737,3.1994
AEGPB7,219.6,219.6,1089.566834,2.1956
AERI11,,,120.168711,
AERI12,,,158.247334,
AESLA8,42.6,42.6,1034.468569,0.426
AGAU13,,,,
AGPI11,,,,
ALGAA2,109.9,109.9,1028.048617,1.0988
ALGTA5,105.1,105.1,1023.866635,1.0514
ALGTA6,110.9,110.9,1009.725969,1.1092
ALPA22,102.5,102.5,1045.400677,1.0247
AMBP16,,,176.078338,
ANHBA5,50.6,50.6,1045.363616,0.5059
ANHBA6,56.6,56.6,1016.519857,0.5662
ANIM15,201.3,201.3,784.500095,2.0129
ANIM17,214.7,214.7,1036.103107,2.1466
ANIM18,220.5,220.5,1042.500765,2.2046
APFL18,167.9,167.9,1014.246915,1.6795
APPSB2,136.1,136.1,676.716193,1.3608
APRB28,63.0,63.0,319.99793,0.6298
ARML13,343.7,343.7,1028.594734,3.4373
ARML14,415.7,415.7,1003.507317,4.1573
ARML15,403.3,403.3,976.157569,4.033
ARML25,389.2,389.2,973.672454,3.8915
ARML26,438.0,438.0,966.872661,4.3805
ARTRA1,163.5,163.5,358.303751,1.6347
ARTRA4,241.1,241.1,672.112292,2.411
ARTRA5,241.5,241.5,1063.368602,2.415
ASAI18,156.3,156.3,1034.873851,1.5626
ASAI19,178.7,178.7,1056.805135,1.7872
ASAI22,162.6,162.6,1049.151947,1.6257
ASAI28,187.0,187.0,1033.199049,1.8702
ASAIA0,191.3,191.3,1017.172449,1.9127
ASAIA1,195.5,195.5,1051.275045,1.9551
ASAIA2,198.1,198.1,1016.410319,1.981
ASAIA3,194.9,194.9,1019.504234,1.9489
AURE13,76.8,76.8,1049.655981,0.7682
AXIAA0,62.0,62.0,1021.858979,0.6204
AXIAB0,73.1,73.1,1024.613568,0.731
AZZA11,137.2,137.2,1061.512029,1.3715
AZZA12,169.1,169.1,994.75884,1.6909
AZZA13,200.9,200.9,1001.604046,2.0091
BCBF16,453.5,453.5,696.861525,4.5349
BCPSA4,26.4,26.4,1009.357695,0.2641
BCPSA6,36.3,36.3,1060.104283,0.3631
BKBR19,151.9,151.9,529.324276,1.5192
BRIT11,93.3,93.3,337.826041,0.9329
BRIT12,129.0,129.0,1029.698211,1.2903
BRKMA6,,,457.77146,
BRKMA8,,,455.745533,
BRKMB6,,,475.308294,
BRKMB8,,,472.418666,
BRKPA0,206.3,206.3,415.539584,2.0626
BRKPA2,242.0,242.0,1022.272052,2.4204
BRKPA3,245.9,245.9,1015.743889,2.4588
BRKPA4,261.7,261.7,1038.254812,2.6168
BRKPA5,213.0,213.0,1066.89815,2.1304
BRMLA1,41.2,41.2,1012.331575,0.4121
BRMLB1,55.6,55.6,1022.980638,0.5564
BRST14,156.3,156.3,1041.058313,1.563
BSA312,41.4,41.4,10527.820939,0.4137
BSA318,33.9,33.9,1042.380359,0.3394
BSA319,49.2,49.2,1025.004842,0.4921
BSA3A0,34.2,34.2,1068.782575,0.3424
BTGH18,106.7,106.7,1043.983047,1.0667
CAEC13,130.0,130.0,1012.913944,1.3
CAEC22,117.8,117.8,1053.520146,1.178
CAEC32,129.4,129.4,1073.340264,1.2935
CAMLA1,184.7,184.7,1048.06008,1.8465
CAMLB1,179.0,179.0,1048.892579,1.7901
CASN13,313.8,313.8,752.595984,3.1384
CASN14,162.5,162.5,1019.066672,1.6251
CBAN22,80.0,80.0,882.51505,0.8
CBOH11,143.2,143.2,1008.365996,1.4322
CBRDB8,,,377.026315,
CCROA7,35.4,35.4,1027.083984,0.3544
CDAR11,153.6,153.6,1071.045722,1.5361
CDES12,138.1,138.1,1013.325911,1.3806
CDGS26,77.7,77.7,1032.104734,0.7769
CEAB13,122.2,122.2,1025.679284,1.2219
CEAB14,84.9,84.9,1067.75892,0.8485
CEAB22,70.1,70.1,534.476714,0.7014
CEAP15,79.2,79.2,1053.527316,0.7925
CEAP16,79.9,79.9,1082.490955,0.7989
CEBD14,112.7,112.7,1009.834779,1.1274
CEBD25,103.4,103.4,1044.747961,1.034
CEEBA3,86.9,86.9,1058.545338,0.8694
CEEBA6,145.6,145.6,1015.672537,1.4562
CEEBA7,74.5,74.5,1053.503727,0.7449
CEEBA8,63.9,63.9,1041.542023,0.6389
CEEBB3,106.4,106.4,1064.813059,1.0636
CEEBB8,70.1,70.1,1047.678826,0.701
CEED16,63.2,63.2,1021.381275,0.6322
CEED18,59.6,59.6,1070.191723,0.5958
CEEDA0,76.5,76.5,1050.992707,0.7651
CEEDA1,79.9,79.9,1047.657119,0.7986
CEMTE2,58.3,58.3,1041.798415,0.5828
CEPEA1,88.4,88.4,1058.78905,0.8838
CEPEA3,73.3,73.3,1053.730861,0.7333
CEPEA4,92.0,92.0,1074.899079,0.9202
CEPEB1,99.4,99.4,1066.766733,0.9941
CEPEB2,103.6,103.6,1071.270537,1.0358
CERO19,52.4,52.4,1063.337273,0.5241
CEROA2,60.6,60.6,1041.76532,0.6057
CEROB2,68.2,68.2,1047.74221,0.6815
CESE22,73.4,73.4,820.247328,0.7335
CESPA4,74.2,74.2,1002.248952,0.7418
CGASA3,47.8,47.8,1042.29463,0.4782
CGASA5,68.1,68.1,1065.602323,0.6808
CGBP14,82.8,82.8,997.541326,0.8278
CGOS15,63.9,63.9,1076.230654,0.6387
CGOS17,63.0,63.0,1020.169348,0.6305
CGOS18,63.5,63.5,1078.789374,0.6348
CGOS19,69.1,69.1,1049.385929,0.6907
CGOSA1,70.7,70.7,1053.102112,0.7073
CHSF12,49.2,49.2,1064.054697,0.4924
CHSF14,55.7,55.7,1079.79752,0.5566
CHSF24,60.2,60.2,1090.449897,0.6016
CHTH11,41.8,41.8,1031.533174,0.4178
CIEL17,28.2,28.2,1033.487396,0.2824
CIEL18,39.2,39.2,1049.31694,0.3922
CIEL19,34.0,34.0,1053.344304,0.3398
CLCD16,77.9,77.9,1056.091538,0.7788
CLCD17,93.9,93.9,1020.079519,0.9387
CLCD18,81.9,81.9,1008.473234,0.8191
CLCD19,40.0,40.0,1109.734156,0.4004
CLII12,184.4,184.4,1032.182453,1.8436
CLIS11,181.0,181.0,1112.459863,1.81
CLMOA4,70.2,70.2,1048.951272,0.702
CMED13,149.7,149.7,1034.991202,1.4974
CMGD18,82.2,82.2,1037.333622,0.8218
CMGDA0,46.0,46.0,1012.523167,0.4599
CMGDA1,62.5,62.5,1064.809606,0.6252
CMGDA2,64.7,64.7,1076.823865,0.6468
CMGDA3,55.4,55.4,1057.375273,0.5542
CMGDB3,64.8,64.8,1061.484886,0.6483
CMGTA0,52.8,52.8,1070.672479,0.528
CMGTA2,64.3,64.3,1034.914664,0.6427
CMPH14,,,510.300167,
CMTR19,63.0,63.0,692.35424,0.6301
CNLM16,65.5,65.5,1046.062207,0.6554
CNLM17,73.2,73.2,1065.426385,0.732
COCEA2,105.0,105.0,1045.925181,1.0503
COGNA4,120.6,120.6,1054.083607,1.2064
COGNA5,99.8,99.8,1011.221414,0.9981
COGNB2,116.2,116.2,1054.720766,1.1617
COLNA3,80.7,80.7,1014.210711,0.8065
CPFGA3,56.4,56.4,1034.224271,0.5639
CPFPA6,33.9,33.9,487.953682,0.3388
CPFPA8,43.6,43.6,1034.245447,0.4364
CPFPB8,54.2,54.2,1034.969326,0.5419
CPGT17,67.0,67.0,529.497433,0.6704
CPGT18,55.7,55.7,1040.66847,0.5567
CPGT19,41.6,41.6,1058.367776,0.4165
CPGT29,57.9,57.9,1061.047191,0.5787
CPGT39,80.0,80.0,1065.141926,0.7997
CPGTA0,43.3,43.3,1009.229144,0.4334
CPGTB0,62.1,62.1,1012.78976,0.6209
CPLD19,53.0,53.0,1045.278419,0.5296
CPLD27,86.3,86.3,524.482503,0.8634
CPLD38,147.2,147.2,1040.947521,1.4715
CPLDA0,45.1,45.1,1018.465065,0.4515
CPLDA2,36.8,36.8,1014.017595,0.3677
CPLDB0,59.7,59.7,1018.517254,0.5972
CPREA0,43.8,43.8,1047.12397,0.4377
CPTE12,88.2,88.2,651.86876,0.8821
CSAN15,215.7,215.7,1063.761591,2.1566
CSAN18,148.4,148.4,1027.969484,1.4836
CSAN23,173.2,173.2,1015.208734,1.7321
CSAN24,188.6,188.6,1052.899224,1.8858
CSANA0,160.3,160.3,1014.751112,1.6026
CSANA2,165.9,165.9,1196.337071,1.6589
CSANB0,175.0,175.0,1016.866953,1.7495
CSANB1,152.2,152.2,1000.630675,1.5219
CSANB2,143.2,143.2,1206.678349,1.4316
CSANC1,188.0,188.0,995.166982,1.8803
CSANC2,183.4,183.4,1200.45824,1.834
CSED12,81.0,81.0,1022.676785,0.8102
CSED13,88.4,88.4,1044.619822,0.8843
CSMGA7,75.8,75.8,856.798183,0.7583
CSMGA8,85.5,85.5,1038.862452,0.8553
CSMGA9,68.7,68.7,1026.293014,0.6873
CSMGB0,67.0,67.0,1003.992019,0.6702
CSMGB6,72.9,72.9,79.495744,0.7285
